Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Churn,Churn_Probability
12346.0,165,11,372.86,2,5,2,252,At Risk,1,0.8817
12347.0,3,2,1323.32,5,2,4,524,Potential,0,0.0798
12348.0,74,1,222.16,2,1,1,211,At Risk,0,0.5687
12349.0,43,3,2671.14,3,3,5,335,Loyal,0,0.1318
12351.0,11,1,300.93,5,1,2,512,Potential,0,0.4817
12352.0,11,2,343.8,5,2,2,522,Potential,0,0.3612
12353.0,44,1,317.76,3,1,2,312,Potential,0,0.484
12355.0,203,1,488.21,1,1,2,112,Lost,1,0.5363
12356.0,16,3,3560.3,4,3,5,435,Loyal,0,0.4154
12357.0,24,2,12079.99,4,2,5,425,Potential,0,0.2713
12358.0,11,3,2719.01,5,3,5,535,Loyal,0,0.1318
12359.0,61,6,2563.36,3,4,5,345,Loyal,0,0.0076
12360.0,15,5,1590.83,5,4,4,544,Champion,0,0.2848
12361.0,98,3,321.35,2,3,2,232,At Risk,1,0.6948
12362.0,374,1,130.0,1,1,1,111,Lost,1,0.8276
12366.0,269,1,500.24,1,1,3,113,Lost,1,0.6134
12368.0,264,1,917.7,1,1,3,113,Lost,1,0.6603
12369.0,49,3,1791.15,3,3,4,334,Loyal,0,0.1449
12370.0,260,3,774.62,1,3,3,133,Lost,1,0.2931
12371.0,45,3,2179.42,3,3,5,335,Loyal,0,0.1089
12373.0,260,2,763.05,1,2,3,123,Lost,1,0.3462
12374.0,57,3,2246.29,3,3,5,335,Loyal,0,0.3388
12376.0,25,2,503.15,4,2,3,423,Potential,0,0.2435
12377.0,17,2,1798.2,4,2,4,424,Potential,0,0.2803
12378.0,198,1,1407.7,1,1,4,114,Lost,1,0.9171
12379.0,58,2,767.98,3,2,3,323,Potential,0,0.3462
12380.0,101,7,6951.49,2,5,5,255,At Risk,1,0.0051
12385.0,15,1,1938.4,5,1,4,514,Potential,0,0.1141
12386.0,2,1,258.9,5,1,2,512,Potential,0,0.4525
12387.0,51,1,143.94,3,1,1,311,Potential,0,0.553
12388.0,81,2,1120.45,2,2,4,224,At Risk,0,0.2589
12389.0,38,3,1433.33,3,3,4,334,Loyal,0,0.3808
12391.0,100,5,2285.18,2,4,5,245,At Risk,1,0.4353
12392.0,227,1,234.75,1,1,1,111,Lost,1,0.4841
12393.0,18,2,816.85,4,2,3,423,Potential,0,0.3634
12395.0,7,4,2048.64,5,4,4,544,Champion,0,0.0435
12396.0,310,1,931.43,1,1,3,113,Lost,1,0.6789
12399.0,21,3,853.65,4,3,3,433,Loyal,0,0.205
12400.0,50,1,205.25,3,1,1,311,Potential,0,0.4203
12402.0,28,5,1031.3,4,4,4,444,Champion,0,0.1763
12403.0,157,1,591.66,2,1,3,213,At Risk,1,0.69
12404.0,318,1,63.24,1,1,1,111,Lost,1,0.4701
12406.0,35,3,2975.06,4,3,5,435,Loyal,0,0.362
12408.0,21,3,1452.22,4,3,4,434,Loyal,0,0.5781
12409.0,56,4,12346.62,3,4,5,345,Loyal,0,0.0318
12410.0,138,1,320.38,2,1,2,212,At Risk,1,0.5704
12411.0,45,1,346.9,3,1,2,312,Potential,0,0.5434
12412.0,38,3,1370.05,3,3,4,334,Loyal,0,0.1854
12413.0,38,1,241.35,3,1,1,311,Potential,0,0.5107
12414.0,99,3,390.0,2,3,2,232,At Risk,1,0.499
12415.0,11,7,19543.84,5,5,5,555,Champion,0,0.0198
12416.0,292,1,202.56,1,1,1,111,Lost,1,0.5276
